FraudCaseID,TransactionID,CustomerID,FraudType,FraudStatus,RiskLevel,InvestigatorID,InvestigationDate,ResolutionDate,InvestigationDurationHours,FraudAmount,RecoveredAmount,FinancialLoss,CasePriority,InvestigationResult
FC000197,T00004253,C004495,International Fraud,Under Investigation,High,E00086,06-06-2025,,48,581.81,379.51,202.3,High,Law Enforcement Referred
FC000198,T00004302,C002046,Card Theft,Closed,High,E00027,22-01-2025,01-02-2025,240,37.4,17.69,19.7,Critical,Law Enforcement Referred
FC000199,T00004397,C001338,Account Takeover,Closed,High,E00077,06-03-2026,12-03-2026,144,794.83,220.03,574.8,High,Account Secured
FC000200,T00004404,C004936,Online Banking Fraud,Escalated,Critical,E00019,17-09-2025,,72,264.69,88.37,176.32,Medium,Confirmed Fraud
FC000201,T00004406,C001974,Card Theft,Escalated,Critical,E00072,21-09-2025,,192,808.11,626.68,181.43,Medium,Confirmed Fraud
FC000202,T00004411,C003814,Online Banking Fraud,Open,Critical,E00013,07-10-2025,,24,622.96,403.35,219.61,Medium,Law Enforcement Referred
FC000203,T00004421,C001720,Account Takeover,Closed,High,E00049,09-03-2026,09-03-2026,0,1056.12,852.93,203.19,High,Law Enforcement Referred
FC000204,T00004438,C003964,International Fraud,Closed,Medium,E00043,21-03-2026,25-03-2026,96,2281.46,1535.43,746.03,Medium,Account Secured
FC000205,T00004456,C000238,Suspicious Transfer,Closed,High,E00007,14-05-2026,23-05-2026,216,480.6,201.44,279.16,High,Account Secured
FC000206,T00004482,C003134,Phishing,Open,High,E00065,13-12-2025,,NULL,474.64,0,474.64,High,Customer Reimbursed
FC000207,T00004489,C000059,Account Takeover,Under Investigation,High,E00028,24-02-2026,,144,2640.31,840.47,1799.84,High,Confirmed Fraud
FC000208,T00004497,C000800,Money Laundering,Closed,High,E00001,29-07-2026,31-07-2026,48,949.3,611.16,338.14,High,False Positive
FC000209,T00004531,C004594,Phishing,Escalated,High,E00070,08-07-2025,,168,685.08,237.21,447.87,Critical,Customer Reimbursed
FC000210,T00004544,C000401,UPI Fraud,Closed,High,E00003,19-01-2025,28-01-2025,216,714.01,605.22,108.8,High,Account Secured
FC000211,T00004576,C000192,ATM Fraud,Closed,Critical,E00150,21-02-2025,27-02-2025,144,176.83,90.17,86.66,High,Customer Reimbursed
FC000212,T00004676,C000247,Online Banking Fraud,Closed,High,E00055,28-06-2026,28-06-2026,0,64.76,0,64.76,Critical,Law Enforcement Referred
FC000213,T00004729,C002740,Identity Theft,Closed,High,E00110,07-09-2025,11-09-2025,96,2359.18,1349.86,1009.31,High,False Positive
FC000214,T00004743,C003464,ATM Fraud,Closed,High,E00013,21-03-2026,27-03-2026,144,10139.4,7580.15,2559.25,High,Account Secured
FC000215,T00004749,C003383,International Fraud,Under Investigation,Critical,E00087,07-04-2026,,48,3947.65,3204.22,743.43,High,False Positive
FC000216,T00004762,C004835,Phishing,Closed,High,E00075,11-01-2026,17-01-2026,144,817.92,284.49,533.44,Low,Account Secured
FC000217,T00004779,C000510,Phishing,Closed,High,E00112,08-10-2025,12-10-2025,96,2309.34,619.93,1689.41,Critical,Confirmed Fraud
FC000218,T00004790,C002161,Money Laundering,Closed,Critical,E00086,23-01-2025,01-02-2025,216,902.24,422.68,479.56,Medium,False Positive
FC000219,T00004841,C002886,Account Takeover,Closed,Medium,E00140,16-02-2025,18-02-2025,48,275.18,118.18,157,Critical,Account Secured
FC000220,T00004887,C004658,Account Takeover,Open,High,E00112,26-11-2025,,168,1000.25,309.13,691.12,Low,Account Secured
FC000221,T00004897,C002588,Money Laundering,Closed,High,E00081,16-04-2025,25-04-2025,216,157.22,94.25,62.96,High,Law Enforcement Referred
FC000222,T00004899,C000916,Money Laundering,Under Investigation,High,E00090,14-03-2025,,NULL,541.47,0,541.47,High,Confirmed Fraud
FC000223,T00004940,C004826,Account Takeover,Closed,Critical,E00071,06-01-2026,11-01-2026,120,248.88,25.06,223.81,Medium,Confirmed Fraud
FC000224,T00004948,C004269,ATM Fraud,Closed,Medium,E00072,22-03-2025,01-04-2025,240,507.62,146.97,360.66,High,Law Enforcement Referred
FC000225,T00004973,C003869,Money Laundering,Closed,High,E00100,08-03-2026,11-03-2026,72,310.17,268.76,41.41,Medium,Customer Reimbursed
FC000226,T00005075,C003266,Merchant Fraud,Under Investigation,High,E00141,28-06-2025,,72,4874.39,2934.9,1939.49,High,Customer Reimbursed
FC000227,T00005095,C003727,Account Takeover,Closed,Medium,E00004,12-11-2025,16-11-2025,96,727.24,648.69,78.55,High,False Positive
FC000228,T00005117,C001068,Suspicious Transfer,Closed,Medium,E00124,05-02-2025,07-02-2025,48,2669.52,1494.66,1174.86,High,Customer Reimbursed
FC000229,T00005143,C001791,Identity Theft,Closed,Medium,E00138,02-06-2026,02-06-2026,0,404.22,0,404.22,High,Customer Reimbursed
FC000230,T00005197,C002099,Suspicious Transfer,Closed,Critical,E00138,19-08-2025,19-08-2025,0,3793.9,0,3793.9,Medium,Account Secured
FC000231,T00005235,C001894,Suspicious Transfer,Closed,Critical,E00107,02-05-2026,07-05-2026,120,964.02,274.86,689.17,Medium,Customer Reimbursed
FC000232,T00005245,C001368,Card Theft,Closed,Medium,E00021,11-11-2025,18-11-2025,168,469.89,259.95,209.94,Critical,Law Enforcement Referred
FC000233,T00005246,C003755,Online Banking Fraud,Escalated,High,E00055,10-05-2026,,192,90.03,9.31,80.72,High,Law Enforcement Referred
FC000234,T00005249,C000721,Phishing,Under Investigation,High,E00040,24-03-2026,,NULL,326.82,0,326.82,Critical,False Positive
FC000235,T00005276,C000325,International Fraud,Closed,High,E00071,06-12-2025,12-12-2025,144,354.95,126.78,228.17,Low,Law Enforcement Referred
FC000236,T00005298,C004564,UPI Fraud,Open,Critical,E00112,02-04-2025,,NULL,1061.37,0,1061.37,High,False Positive
FC000237,T00005355,C003547,International Fraud,Open,High,E00067,09-02-2026,,24,1704.33,1222.33,482,High,Law Enforcement Referred
FC000238,T00005378,C004025,Money Laundering,Closed,High,E00148,21-03-2025,21-03-2025,0,2919.67,0,2919.67,High,Law Enforcement Referred
FC000239,T00005398,C004285,UPI Fraud,Closed,Critical,E00015,19-02-2025,22-02-2025,72,162.13,28.31,133.83,Critical,False Positive
FC000240,T00005446,C004453,Card Theft,Escalated,Critical,E00031,02-01-2026,,168,457.95,206.55,251.4,High,Account Secured
FC000241,T00005495,C000165,UPI Fraud,Closed,High,E00046,27-03-2025,30-03-2025,72,280.44,162.81,117.63,Medium,False Positive
FC000242,T00005533,C003148,Identity Theft,Closed,High,E00110,20-12-2025,30-12-2025,240,119.22,84.63,34.6,Low,False Positive
FC000243,T00005561,C002287,Account Takeover,Escalated,High,E00098,17-12-2025,,24,865.63,542.07,323.56,Low,Confirmed Fraud
FC000244,T00005566,C002117,UPI Fraud,Closed,Critical,E00114,04-03-2025,04-03-2025,0,129.83,38.12,91.72,High,Account Secured
FC000245,T00005598,C002738,ATM Fraud,Closed,Critical,E00115,02-12-2025,04-12-2025,48,420.52,212.85,207.67,High,Account Secured
FC000246,T00005609,C002098,Suspicious Transfer,Closed,High,E00129,20-02-2025,23-02-2025,72,2811.18,286.78,2524.4,High,Customer Reimbursed
FC000247,T00005611,C002224,Money Laundering,Closed,High,E00008,16-06-2026,25-06-2026,216,199.96,63.87,136.09,Medium,Customer Reimbursed
FC000248,T00005630,C003728,Suspicious Transfer,Closed,Critical,E00148,27-07-2026,28-07-2026,24,40.53,18.36,22.17,High,Confirmed Fraud
FC000249,T00005632,C003481,Account Takeover,Closed,High,E00127,14-07-2026,23-07-2026,216,270.41,137.21,133.2,Medium,False Positive
FC000250,T00005643,C000962,Merchant Fraud,Closed,High,E00113,16-06-2026,20-06-2026,96,251.6,200.76,50.83,Medium,False Positive
FC000251,T00005657,C003741,Phishing,Closed,High,E00048,14-04-2025,14-04-2025,0,177.19,0,177.19,High,Customer Reimbursed
FC000252,T00005690,C002370,Identity Theft,Closed,High,E00072,25-10-2025,25-10-2025,0,699.43,0,699.43,High,Confirmed Fraud
FC000253,T00005729,C004187,International Fraud,Closed,Medium,E00028,12-01-2025,16-01-2025,96,122.2,25.59,96.61,Medium,Law Enforcement Referred
FC000254,T00005747,C004242,Card Theft,Under Investigation,High,E00008,21-04-2025,,120,237.62,153.22,84.4,Critical,Account Secured
FC000255,T00005748,C004019,Phishing,Closed,High,E00098,05-04-2026,05-04-2026,0,40546.79,0,40546.79,High,Law Enforcement Referred
FC000256,T00005758,C000942,Card Theft,Under Investigation,Medium,E00011,19-07-2026,,216,279.72,161.79,117.94,Medium,Customer Reimbursed
FC000257,T00005790,C002445,Money Laundering,Closed,Medium,E00065,17-06-2025,17-06-2025,0,607.95,0,607.95,Critical,Customer Reimbursed
FC000258,T00005798,C004830,Money Laundering,Closed,High,E00085,22-02-2026,02-03-2026,192,6156.98,4746.36,1410.62,Medium,Confirmed Fraud
FC000259,T00005815,C000841,International Fraud,Closed,Medium,E00013,25-10-2025,25-10-2025,0,360.35,0,360.35,Medium,False Positive
FC000260,T00005842,C002203,Identity Theft,Closed,High,E00052,03-03-2026,07-03-2026,96,1958.31,1094.83,863.48,High,Law Enforcement Referred
FC000261,T00005849,C000500,Suspicious Transfer,Closed,Critical,E00143,24-01-2025,03-02-2025,240,499.73,151.67,348.07,High,Confirmed Fraud
FC000262,T00005851,C000073,Identity Theft,Closed,Medium,E00108,05-07-2025,10-07-2025,120,9365.07,1563.37,7801.7,High,Customer Reimbursed
FC000263,T00005854,C003518,Account Takeover,Closed,High,E00087,02-04-2025,08-04-2025,144,1023.45,878.29,145.16,High,Customer Reimbursed
FC000264,T00005868,C000912,Merchant Fraud,Closed,High,E00126,05-05-2025,05-05-2025,0,771.19,0,771.19,Medium,False Positive
FC000265,T00005871,C000124,International Fraud,Closed,Critical,E00056,28-06-2025,03-07-2025,120,787.16,91.15,696.01,High,Account Secured
FC000266,T00005886,C000835,Money Laundering,Closed,High,E00027,15-08-2025,17-08-2025,48,1701.89,1058.35,643.53,Medium,Account Secured
FC000267,T00005952,C001373,Card Theft,Open,Critical,E00001,07-05-2026,,96,199.1,149.42,49.67,Medium,False Positive
FC000268,T00005965,C002206,Phishing,Closed,High,E00136,28-06-2026,29-06-2026,24,656.25,129.95,526.3,High,Confirmed Fraud
FC000269,T00006012,C001184,Identity Theft,Under Investigation,High,E00047,23-06-2025,,NULL,8541.45,0,8541.45,High,Account Secured
FC000270,T00006067,C004097,Account Takeover,Open,High,E00005,15-09-2025,,120,629.24,552.09,77.16,High,Customer Reimbursed
FC000271,T00006069,C004892,Merchant Fraud,Open,Critical,E00046,03-04-2026,,0,458.14,358.55,99.59,Medium,Customer Reimbursed
FC000272,T00006129,C003840,Phishing,Closed,High,E00074,09-03-2025,10-03-2025,24,762.6,234.91,527.7,High,Confirmed Fraud
FC000273,T00006167,C004047,Phishing,Escalated,Critical,E00144,11-10-2025,,72,1611.26,540.46,1070.79,Critical,Law Enforcement Referred
FC000274,T00006181,C003510,International Fraud,Closed,High,E00047,09-03-2026,12-03-2026,72,520.23,94.34,425.9,High,False Positive
FC000275,T00006191,C001247,Account Takeover,Open,Medium,E00018,23-07-2025,,NULL,155.87,0,155.87,High,Law Enforcement Referred
FC000276,T00006193,C000638,Account Takeover,Closed,High,E00132,11-04-2025,11-04-2025,0,2349.43,0,2349.43,Low,Confirmed Fraud
FC000277,T00006202,C004689,Money Laundering,Closed,Medium,E00110,22-05-2025,30-05-2025,192,43.7,8.29,35.41,Medium,Confirmed Fraud
FC000278,T00006203,C004490,Money Laundering,Closed,Critical,E00100,01-05-2026,06-05-2026,120,304.54,54.23,250.31,Critical,Confirmed Fraud
FC000279,T00006221,C003183,Card Theft,Closed,High,E00039,29-06-2025,30-06-2025,24,1592.93,753.99,838.94,High,Law Enforcement Referred
FC000280,T00006254,C002286,Account Takeover,Closed,High,E00093,12-09-2025,12-09-2025,0,913.36,0,913.36,High,Account Secured
FC000281,T00006256,C003836,Card Theft,Closed,High,E00106,02-06-2025,02-06-2025,0,5705.75,0,5705.75,Medium,Law Enforcement Referred
FC000282,T00006273,C002081,Card Theft,Open,High,E00078,12-10-2025,,240,178.17,57.67,120.51,Critical,Law Enforcement Referred
FC000283,T00006390,C000211,Card Theft,Closed,High,E00133,23-11-2025,29-11-2025,144,4516.29,3469.77,1046.51,Critical,Law Enforcement Referred
FC000284,T00006399,C003525,Phishing,Closed,Critical,E00038,09-07-2026,09-07-2026,0,185.22,0,185.22,High,Law Enforcement Referred
FC000285,T00006421,C003898,Money Laundering,Escalated,Medium,E00133,23-04-2026,,NULL,961.55,0,961.55,High,Customer Reimbursed
FC000286,T00006424,C003715,International Fraud,Under Investigation,High,E00119,31-12-2025,,216,1313.44,136.49,1176.95,High,Customer Reimbursed
FC000287,T00006432,C003974,Merchant Fraud,Closed,High,E00135,17-03-2025,22-03-2025,120,9587.98,6386.33,3201.65,High,Law Enforcement Referred
FC000288,T00006449,C003708,Card Theft,Open,Medium,E00099,03-06-2025,,120,732.16,464.5,267.67,Medium,False Positive
FC000289,T00006453,C003217,Card Theft,Open,High,E00062,10-01-2026,,NULL,2807.75,0,2807.75,High,Law Enforcement Referred
FC000290,T00006454,C002027,Phishing,Closed,Medium,E00123,27-10-2025,01-11-2025,120,288.59,169.92,118.67,High,Law Enforcement Referred
FC000291,T00006469,C000254,ATM Fraud,Under Investigation,High,E00091,02-03-2025,,24,2615.91,594.79,2021.13,High,Confirmed Fraud
FC000292,T00006473,C002261,Merchant Fraud,Under Investigation,Medium,E00090,05-07-2025,,24,376.86,256.62,120.24,Critical,Customer Reimbursed
FC000293,T00006487,C001395,International Fraud,Closed,Medium,E00068,29-04-2026,02-05-2026,72,122.41,67.85,54.55,High,False Positive
FC000294,T00006520,C003610,Money Laundering,Closed,High,E00117,13-03-2026,15-03-2026,48,277.67,149.12,128.55,Critical,False Positive
FC000295,T00006521,C002291,Card Theft,Under Investigation,Critical,E00018,06-10-2025,,48,2685.88,1139.1,1546.78,Medium,False Positive
FC000296,T00006557,C002589,ATM Fraud,Under Investigation,High,E00086,26-03-2025,,240,509.59,435.09,74.5,Critical,Confirmed Fraud
FC000297,T00006561,C003067,UPI Fraud,Closed,Critical,E00056,26-10-2025,04-11-2025,216,3378.04,2516,862.04,Medium,Law Enforcement Referred
FC000298,T00006562,C001233,Card Theft,Closed,Medium,E00118,18-07-2025,25-07-2025,168,383.95,332.59,51.35,Critical,False Positive
FC000299,T00006576,C001243,ATM Fraud,Closed,High,E00150,21-03-2025,23-03-2025,48,603.22,516,87.22,Critical,Customer Reimbursed
FC000300,T00006579,C000855,Online Banking Fraud,Open,High,E00021,14-10-2025,,192,532.81,325.7,207.11,Medium,Law Enforcement Referred
FC000301,T00006605,C004170,Suspicious Transfer,Closed,High,E00122,22-07-2026,25-07-2026,72,4090.56,2017.17,2073.39,Medium,Law Enforcement Referred
FC000302,T00006642,C000510,Phishing,Closed,Critical,E00112,09-08-2025,10-08-2025,24,3243.45,2882.71,360.75,Critical,Confirmed Fraud
FC000303,T00006669,C002747,International Fraud,Closed,Critical,E00015,06-01-2026,09-01-2026,72,128.99,94.88,34.11,Low,False Positive
FC000304,T00006678,C000163,Online Banking Fraud,Closed,Critical,E00091,09-05-2025,09-05-2025,0,291,217.22,73.78,High,Law Enforcement Referred
FC000305,T00006681,C003781,Account Takeover,Closed,Medium,E00109,05-04-2026,06-04-2026,24,12186.98,7178.7,5008.28,Critical,False Positive
FC000306,T00006709,C000718,ATM Fraud,Closed,High,E00136,16-09-2025,16-09-2025,0,51.4,0,51.4,High,False Positive
FC000307,T00006722,C003259,Card Theft,Closed,High,E00003,18-02-2025,20-02-2025,48,170.25,138.04,32.21,Medium,Confirmed Fraud
FC000308,T00006750,C002787,Phishing,Closed,High,E00106,05-12-2025,14-12-2025,216,727.65,328.43,399.22,High,Confirmed Fraud
FC000309,T00006751,C004756,Phishing,Closed,Critical,E00032,04-04-2026,04-04-2026,0,288.32,0,288.32,Critical,Account Secured
FC000310,T00006767,C002583,Online Banking Fraud,Closed,High,E00029,09-03-2025,19-03-2025,240,817.58,180.2,637.38,Low,Account Secured
FC000311,T00006807,C004115,Phishing,Closed,Medium,E00125,13-09-2025,14-09-2025,24,434.57,260.9,173.68,Critical,Account Secured
FC000312,T00006808,C001441,UPI Fraud,Closed,Medium,E00070,11-02-2026,13-02-2026,48,2608.43,1039.13,1569.3,Medium,Account Secured
FC000313,T00006830,C002902,UPI Fraud,Closed,High,E00103,29-05-2026,08-06-2026,240,3070.09,1994.84,1075.25,Medium,False Positive
FC000314,T00006848,C002415,Card Theft,Closed,Critical,E00048,25-01-2025,28-01-2025,72,655.01,304.35,350.65,High,Customer Reimbursed
FC000315,T00006860,C001798,Online Banking Fraud,Closed,High,E00082,14-07-2025,20-07-2025,144,615.26,139.69,475.57,Critical,Confirmed Fraud
FC000316,T00006904,C004671,Account Takeover,Closed,High,E00086,12-06-2025,20-06-2025,192,610.39,426.05,184.34,High,Law Enforcement Referred
FC000317,T00006907,C004939,Merchant Fraud,Closed,Critical,E00010,06-06-2025,11-06-2025,120,230.4,204.57,25.83,Medium,Law Enforcement Referred
FC000318,T00006922,C001470,UPI Fraud,Closed,Critical,E00052,22-07-2025,22-07-2025,0,582.53,0,582.53,High,Confirmed Fraud
FC000319,T00006963,C001443,Card Theft,Closed,High,E00012,17-04-2025,21-04-2025,96,584.64,167.15,417.49,Medium,Account Secured
FC000320,T00006975,C004659,Identity Theft,Open,Critical,E00074,23-02-2025,,72,97.63,41.84,55.79,High,Account Secured
FC000321,T00006998,C001273,Card Theft,Closed,High,E00042,07-02-2025,11-02-2025,96,285.1,206.75,78.35,Low,False Positive
FC000322,T00007042,C000938,Suspicious Transfer,Open,Medium,E00076,12-12-2025,,NULL,45.68,0,45.68,Critical,Account Secured
FC000323,T00007061,C003778,Money Laundering,Closed,High,E00091,07-06-2025,14-06-2025,168,716.54,174.66,541.89,High,Account Secured
FC000324,T00007075,C004465,Money Laundering,Closed,High,E00094,17-05-2025,17-05-2025,0,268.09,164.94,103.14,High,Customer Reimbursed
FC000325,T00007107,C002271,Account Takeover,Closed,High,E00059,08-07-2025,08-07-2025,0,2191.18,0,2191.18,High,Account Secured
FC000326,T00007115,C002073,Phishing,Closed,Critical,E00124,11-01-2025,13-01-2025,48,225.7,138.61,87.09,Critical,False Positive
FC000327,T00007118,C000848,Phishing,Closed,High,E00026,02-01-2026,05-01-2026,72,994.57,615.96,378.61,High,Law Enforcement Referred
FC000328,T00007119,C004654,Account Takeover,Under Investigation,High,E00096,11-06-2025,,216,701.13,630.26,70.87,Medium,Customer Reimbursed
FC000329,T00007127,C002802,UPI Fraud,Closed,Critical,E00147,27-06-2025,01-07-2025,96,949.12,251.83,697.3,High,Customer Reimbursed
FC000330,T00007137,C004980,ATM Fraud,Open,Medium,E00008,08-08-2025,,24,1056.17,641.54,414.63,Critical,Customer Reimbursed
FC000331,T00007157,C001933,UPI Fraud,Closed,High,E00115,16-09-2025,24-09-2025,192,1502.62,829.73,672.89,Medium,False Positive
FC000332,T00007184,C000449,Account Takeover,Under Investigation,Critical,E00118,25-10-2025,,48,645.93,387.74,258.19,Medium,Confirmed Fraud
FC000333,T00007230,C003611,ATM Fraud,Closed,High,E00089,25-03-2025,03-04-2025,216,2205.82,1310.89,894.93,Medium,False Positive
FC000334,T00007236,C001751,Identity Theft,Under Investigation,High,E00107,18-07-2026,,168,136.62,16.95,119.67,Low,Law Enforcement Referred
FC000335,T00007271,C004872,Card Theft,Closed,High,E00111,11-08-2025,13-08-2025,48,690.51,438.68,251.83,High,Customer Reimbursed
FC000336,T00007291,C004011,International Fraud,Closed,High,E00136,11-03-2025,11-03-2025,0,4470.91,0,4470.91,Critical,Customer Reimbursed
FC000337,T00007305,C000303,ATM Fraud,Closed,Medium,E00026,14-11-2025,23-11-2025,216,1612.69,569.45,1043.24,High,Customer Reimbursed
FC000338,T00007321,C001100,Money Laundering,Escalated,Critical,E00043,10-02-2026,,120,1352,1138.35,213.66,High,Account Secured
FC000339,T00007347,C000271,Online Banking Fraud,Closed,High,E00041,20-06-2026,29-06-2026,216,805.44,120.06,685.38,Medium,False Positive
FC000340,T00007373,C004462,Merchant Fraud,Closed,High,E00102,17-04-2025,22-04-2025,120,673.05,103.73,569.32,High,False Positive
FC000341,T00007391,C003407,Card Theft,Escalated,High,E00087,07-04-2025,,216,498.22,404.46,93.76,High,Confirmed Fraud
FC000342,T00007408,C004007,Card Theft,Open,High,E00021,09-05-2025,,168,2809.79,2021.59,788.19,Medium,False Positive
FC000343,T00007437,C003796,Phishing,Escalated,High,E00111,07-02-2026,,192,6299.49,5285.9,1013.59,Critical,Confirmed Fraud
FC000344,T00007469,C002265,Money Laundering,Closed,High,E00109,28-02-2025,01-03-2025,24,538.64,378.23,160.41,High,False Positive
FC000345,T00007475,C004523,Money Laundering,Open,High,E00018,07-11-2025,,96,455.93,213.12,242.81,Low,Law Enforcement Referred
FC000346,T00007510,C002510,Money Laundering,Closed,Critical,E00068,03-05-2025,03-05-2025,0,668.04,0,668.04,High,Account Secured
FC000347,T00007530,C004111,Money Laundering,Closed,Medium,E00100,15-05-2025,25-05-2025,240,300.57,138.5,162.07,High,Account Secured
FC000348,T00007540,C001152,Money Laundering,Escalated,Critical,E00032,26-06-2026,,NULL,415.97,0,415.97,Low,Confirmed Fraud
FC000349,T00007559,C002995,Account Takeover,Closed,Critical,E00064,12-02-2026,19-02-2026,168,48.06,25.97,22.09,High,Customer Reimbursed
FC000350,T00007569,C001532,Money Laundering,Open,High,E00052,30-11-2025,,48,435.27,356.28,79,Critical,Account Secured
FC000351,T00007577,C004191,Online Banking Fraud,Closed,Medium,E00084,23-02-2025,26-02-2025,72,54.3,7.98,46.32,Critical,Law Enforcement Referred
FC000352,T00007582,C004671,Account Takeover,Closed,High,E00054,20-03-2026,25-03-2026,120,1455.01,434.55,1020.46,Critical,Law Enforcement Referred
FC000353,T00007596,C004630,ATM Fraud,Escalated,Critical,E00106,21-08-2025,,96,558.66,133.68,424.98,Medium,Account Secured
FC000354,T00007610,C001556,UPI Fraud,Open,High,E00027,31-03-2025,,216,1006.56,615.29,391.26,High,Law Enforcement Referred
FC000355,T00007625,C000076,ATM Fraud,Closed,Medium,E00028,26-08-2025,30-08-2025,96,1665.93,1319.04,346.89,Medium,Account Secured
FC000356,T00007640,C004728,Online Banking Fraud,Closed,High,E00136,12-11-2025,19-11-2025,168,693.81,257.18,436.63,High,Confirmed Fraud
FC000357,T00007649,C001250,Suspicious Transfer,Under Investigation,High,E00113,27-05-2026,,96,4513.87,906.63,3607.25,High,False Positive
FC000358,T00007659,C002117,Identity Theft,Open,Critical,E00112,13-05-2026,,144,494.33,367.28,127.05,Medium,Account Secured
FC000359,T00007679,C003255,Card Theft,Escalated,High,E00093,10-08-2025,,120,6338.79,751.79,5587.01,High,Account Secured
FC000360,T00007685,C004879,UPI Fraud,Closed,Medium,E00146,02-08-2026,07-08-2026,120,25.98,6.6,19.38,Critical,False Positive
FC000361,T00007700,C004231,UPI Fraud,Closed,Medium,E00079,04-01-2025,11-01-2025,168,16059.86,1782.55,14277.3,Medium,Law Enforcement Referred
FC000362,T00007713,C003367,Account Takeover,Closed,High,E00063,21-02-2026,28-02-2026,168,250.19,214.11,36.08,Critical,Confirmed Fraud
FC000363,T00007731,C000695,Online Banking Fraud,Closed,High,E00141,25-06-2025,26-06-2025,24,3909.69,578.79,3330.9,High,Law Enforcement Referred
FC000364,T00007747,C001560,UPI Fraud,Closed,Medium,E00053,15-04-2025,21-04-2025,144,608.82,200.08,408.74,Medium,Account Secured
FC000365,T00007777,C004523,ATM Fraud,Closed,High,E00025,20-08-2025,29-08-2025,216,616.5,207.87,408.63,Low,Confirmed Fraud
FC000366,T00007814,C000231,Identity Theft,Closed,High,E00046,08-06-2026,08-06-2026,0,440.78,0,440.78,Critical,False Positive
FC000367,T00007825,C000340,Online Banking Fraud,Closed,Critical,E00030,02-04-2026,07-04-2026,120,297.69,33.15,264.54,Low,False Positive
FC000368,T00007834,C003220,Account Takeover,Closed,High,E00071,09-07-2025,09-07-2025,0,608.9,0,608.9,Medium,Confirmed Fraud
FC000369,T00007879,C003762,Account Takeover,Under Investigation,Medium,E00069,27-02-2025,,96,870.76,284.84,585.93,High,Customer Reimbursed
FC000370,T00007892,C000263,International Fraud,Under Investigation,High,E00083,06-01-2025,,216,344.1,137.14,206.96,Medium,Account Secured
FC000371,T00007898,C002449,UPI Fraud,Closed,High,E00139,07-02-2026,07-02-2026,0,1882.34,0,1882.34,Critical,Account Secured
FC000372,T00007923,C001538,Card Theft,Open,High,E00127,13-12-2025,,168,707.66,91.66,616,High,False Positive
FC000373,T00007939,C003442,Account Takeover,Open,High,E00010,27-05-2026,,144,144.6,83.23,61.38,Critical,False Positive
FC000374,T00007962,C002069,Card Theft,Closed,High,E00141,17-12-2025,17-12-2025,0,514.62,0,514.62,High,False Positive
FC000375,T00007967,C004029,Money Laundering,Escalated,Critical,E00005,23-07-2026,,216,231.24,104.09,127.16,High,Account Secured
FC000376,T00007969,C001852,Online Banking Fraud,Closed,High,E00033,08-01-2025,11-01-2025,72,545.06,380.11,164.94,Low,False Positive
FC000377,T00008050,C000034,Online Banking Fraud,Under Investigation,High,E00050,02-03-2026,,72,240.91,203.61,37.3,High,Confirmed Fraud
FC000378,T00008100,C002030,UPI Fraud,Closed,Medium,E00051,10-07-2025,12-07-2025,48,81.04,32.41,48.63,Medium,Customer Reimbursed
FC000379,T00008131,C004164,Card Theft,Closed,High,E00080,20-01-2026,20-01-2026,0,535.84,0,535.84,High,Confirmed Fraud
FC000380,T00008138,C002730,Suspicious Transfer,Closed,Critical,E00019,04-03-2026,09-03-2026,120,778.6,479.72,298.89,Critical,False Positive
FC000381,T00008150,C004909,ATM Fraud,Escalated,High,E00021,09-10-2025,,120,63.88,51.19,12.69,High,Law Enforcement Referred
FC000382,T00008157,C003658,UPI Fraud,Open,High,E00132,23-05-2025,,NULL,557.59,0,557.59,Low,Confirmed Fraud
FC000383,T00008169,C003360,Phishing,Closed,Critical,E00113,17-05-2025,19-05-2025,48,2494.63,777.23,1717.39,Critical,Confirmed Fraud
FC000384,T00008174,C004395,UPI Fraud,Under Investigation,Medium,E00038,03-02-2026,,168,285.02,109.15,175.87,Medium,Account Secured
FC000385,T00008175,C001020,ATM Fraud,Open,Medium,E00090,31-01-2026,,192,1713.39,1084.5,628.89,Medium,Customer Reimbursed
FC000386,T00008190,C001293,Online Banking Fraud,Under Investigation,Medium,E00101,03-06-2026,,240,1337.49,232.27,1105.22,High,False Positive
FC000387,T00008253,C004123,Merchant Fraud,Under Investigation,High,E00089,13-02-2025,,72,2305.92,345.42,1960.5,Critical,Customer Reimbursed
FC000388,T00008260,C000418,UPI Fraud,Closed,High,E00119,22-01-2026,22-01-2026,0,222.73,0,222.73,High,False Positive
FC000389,T00008292,C002448,Suspicious Transfer,Closed,Critical,E00111,24-07-2025,02-08-2025,216,567.78,398.39,169.39,Low,Account Secured
FC000390,T00008327,C002681,International Fraud,Closed,High,E00133,07-07-2026,14-07-2026,168,570.13,301.02,269.11,Critical,Customer Reimbursed
FC000391,T00008328,C000699,Online Banking Fraud,Closed,High,E00010,19-08-2025,26-08-2025,168,1344.72,845.63,499.1,High,Confirmed Fraud
FC000392,T00008332,C001244,ATM Fraud,Closed,Critical,E00111,03-03-2025,03-03-2025,0,1016.24,0,1016.24,Low,Customer Reimbursed
FC000393,T00008337,C000245,Money Laundering,Closed,Medium,E00110,03-05-2025,04-05-2025,24,6405.32,4229.65,2175.67,Critical,Account Secured
FC000394,T00008347,C000531,Suspicious Transfer,Under Investigation,Critical,E00133,11-07-2026,,216,266.22,129.84,136.38,Medium,Account Secured
