CardID,CustomerID,AccountID,BankID,CardType,CardNetwork,CardCategory,IssueDate,ExpiryDate,CardStatus,BlockedFlag,BlockReason
CD0001895,C001895,AC0001895,7,Credit,Visa,Platinum,2021-11-27,2027-11-13,Active,0,
CD0001896,C001896,AC0001896,10,Debit,Visa,Platinum,2020-12-20,2026-03-27,Active,0,
CD0001897,C001897,AC0001897,5,Credit,Mastercard,Standard,2023-12-26,2027-01-04,Active,0,
CD0001898,C001898,AC0001898,4,Debit,Mastercard,Platinum,2020-09-20,2028-04-08,Active,0,
CD0001899,C001899,AC0001899,10,Debit,Mastercard,Gold,2024-06-27,2026-10-28,Active,0,
CD0001900,C001900,AC0001900,6,Debit,Visa,Standard,2023-02-04,2030-11-11,Active,0,
CD0001901,C001901,AC0001901,7,Credit,Visa,Gold,2024-01-15,2029-11-11,Active,0,
CD0001902,C001902,AC0001902,3,Credit,Visa,Standard,2019-01-15,2030-05-03,Active,0,
CD0001903,C001903,AC0001903,3,Credit,Mastercard,Gold,2018-02-15,2029-01-22,Active,0,
CD0001904,C001904,AC0001904,2,Credit,Mastercard,Business,2018-02-04,2029-05-01,Active,0,
CD0001905,C001905,AC0001905,3,Credit,Mastercard,Business,2023-03-12,2029-06-26,Active,0,
CD0001906,C001906,AC0001906,2,Debit,Mastercard,Gold,2019-08-30,2027-08-11,Active,0,
CD0001907,C001907,AC0001907,8,Debit,Mastercard,Platinum,2025-11-05,2029-06-22,Active,0,
CD0001908,C001908,AC0001908,1,Debit,Mastercard,Gold,2024-07-29,2030-11-14,Active,0,
CD0001909,C001909,AC0001909,7,Debit,Mastercard,Gold,2018-06-06,2026-10-04,Active,0,
CD0001910,C001910,AC0001910,10,Debit,Visa,Platinum,2019-10-09,2027-12-22,Active,0,
CD0001911,C001911,AC0001911,8,Debit,Visa,Standard,2020-05-09,2027-10-07,Active,0,
CD0001912,C001912,AC0001912,5,Credit,Visa,Gold,2021-10-15,2029-07-05,Active,0,
CD0001913,C001913,AC0001913,1,Credit,Visa,Gold,2023-04-01,2028-11-25,Active,0,
CD0001914,C001914,AC0001914,9,Credit,Visa,Gold,2021-10-16,2030-12-26,Active,0,
CD0001915,C001915,AC0001915,1,Debit,Amex,Platinum,2019-09-14,2029-03-20,Blocked,1,Security Block
CD0001916,C001916,AC0001916,7,Debit,Mastercard,Standard,2022-04-14,2028-04-06,Active,0,
CD0001917,C001917,AC0001917,7,Debit,Mastercard,Gold,2025-08-02,2029-03-11,Blocked,1,Security Block
CD0001918,C001918,AC0001918,2,Credit,Visa,Business,2025-11-05,2029-06-02,Active,0,
CD0001919,C001919,AC0001919,8,Credit,Visa,Gold,2021-06-11,2030-09-16,Active,0,
CD0001920,C001920,AC0001920,2,Debit,Mastercard,Business,2025-01-13,2027-08-17,Active,0,
CD0001921,C001921,AC0001921,3,Credit,Amex,Business,2018-07-10,2028-07-18,Blocked,1,Lost/Stolen
CD0001922,C001922,AC0001922,9,Debit,Visa,Standard,2024-01-06,2029-07-14,Active,0,
CD0001923,C001923,AC0001923,10,Debit,Visa,Business,2022-01-24,2028-11-24,Active,0,
CD0001924,C001924,AC0001924,3,Debit,Visa,Business,2022-12-04,2029-10-21,Active,0,
CD0001925,C001925,AC0001925,10,Debit,Visa,Standard,2022-07-21,2028-05-30,Active,0,
CD0001926,C001926,AC0001926,10,Credit,Mastercard,Standard,2019-07-29,2027-03-12,Blocked,1,Security Block
CD0001927,C001927,AC0001927,8,Credit,Mastercard,Gold,2024-05-17,2026-03-22,Active,0,
CD0001928,C001928,AC0001928,2,Credit,Mastercard,Platinum,2022-09-08,2026-07-12,Active,0,
CD0001929,C001929,AC0001929,3,Credit,Mastercard,Standard,2021-03-14,2028-09-21,Active,0,
CD0001930,C001930,AC0001930,7,Debit,Amex,Standard,2024-04-28,2027-02-18,Active,0,
CD0001931,C001931,AC0001931,10,Credit,Amex,Business,2024-10-03,2028-10-23,Blocked,1,Fraud Suspected
CD0001932,C001932,AC0001932,9,Debit,Visa,Business,2019-05-02,2030-04-03,Active,0,
CD0001933,C001933,AC0001933,5,Debit,Visa,Platinum,2022-10-13,2028-05-15,Active,0,
CD0001934,C001934,AC0001934,3,Credit,Visa,Gold,2023-02-13,2026-07-23,Active,0,
CD0001935,C001935,AC0001935,10,Debit,Mastercard,Gold,2021-12-30,2029-06-06,Active,0,
CD0001936,C001936,AC0001936,3,Credit,Mastercard,Business,2023-01-26,2027-10-23,Active,0,
CD0001937,C001937,AC0001937,4,Credit,Mastercard,Platinum,2025-04-16,2029-07-27,Active,0,
CD0001938,C001938,AC0001938,10,Debit,Visa,Business,2025-11-08,2029-11-08,Active,0,
CD0001939,C001939,AC0001939,6,Credit,Visa,Platinum,2018-09-19,2027-11-28,Active,0,
CD0001940,C001940,AC0001940,3,Debit,Amex,Platinum,2019-02-02,2027-08-18,Active,0,
CD0001941,C001941,AC0001941,1,Debit,Mastercard,Standard,2025-09-14,2027-06-09,Blocked,1,Excessive Attempts
CD0001942,C001942,AC0001942,5,Debit,Amex,Gold,2023-10-06,2027-08-15,Expired,0,
CD0001943,C001943,AC0001943,10,Debit,Amex,Platinum,2021-12-02,2027-07-10,Active,0,
CD0001944,C001944,AC0001944,5,Debit,Mastercard,Platinum,2019-11-04,2027-04-27,Active,0,
CD0001945,C001945,AC0001945,7,Debit,Visa,Gold,2025-10-03,2026-02-22,Blocked,1,Security Block
CD0001946,C001946,AC0001946,3,Debit,Visa,Standard,2020-02-02,2030-03-06,Active,0,
CD0001947,C001947,AC0001947,8,Debit,Visa,Business,2020-01-29,2026-01-22,Expired,0,
CD0001948,C001948,AC0001948,8,Debit,Mastercard,Gold,2023-02-17,2030-08-08,Active,0,
CD0001949,C001949,AC0001949,7,Credit,Visa,Platinum,2025-12-28,2027-07-09,Active,0,
CD0001950,C001950,AC0001950,8,Credit,Mastercard,Platinum,2022-05-26,2029-07-19,Expired,0,
CD0001951,C001951,AC0001951,6,Credit,Visa,Platinum,2025-04-24,2027-07-20,Active,0,
CD0001952,C001952,AC0001952,4,Credit,Mastercard,Business,2025-03-01,2030-05-12,Active,0,
CD0001953,C001953,AC0001953,8,Debit,Visa,Standard,2020-11-13,2029-03-11,Active,0,
CD0001954,C001954,AC0001954,9,Credit,Mastercard,Platinum,2019-01-17,2027-07-06,Active,0,
CD0001955,C001955,AC0001955,9,Credit,Amex,Gold,2018-08-01,2029-10-05,Active,0,
CD0001956,C001956,AC0001956,3,Credit,Mastercard,Gold,2021-11-23,2026-04-28,Active,0,
CD0001957,C001957,AC0001957,7,Credit,Mastercard,Gold,2019-03-09,2027-07-31,Active,0,
CD0001958,C001958,AC0001958,1,Debit,Mastercard,Business,2023-01-13,2029-07-10,Active,0,
CD0001959,C001959,AC0001959,6,Credit,Visa,Business,2021-12-12,2030-12-28,Active,0,
CD0001960,C001960,AC0001960,6,Credit,Visa,Standard,2018-06-10,2029-03-15,Active,0,
CD0001961,C001961,AC0001961,4,Debit,Visa,Gold,2018-04-14,2029-11-27,Active,0,
CD0001962,C001962,AC0001962,10,Debit,Mastercard,Standard,2020-11-07,2030-02-22,Expired,0,
CD0001963,C001963,AC0001963,9,Debit,Amex,Standard,2024-04-20,2028-06-14,Active,0,
CD0001964,C001964,AC0001964,1,Debit,Mastercard,Gold,2024-07-11,2029-03-24,Active,0,
CD0001965,C001965,AC0001965,3,Credit,Mastercard,Platinum,2025-09-20,2028-06-29,Blocked,1,Excessive Attempts
CD0001966,C001966,AC0001966,3,Credit,Amex,Platinum,2022-07-24,2029-06-15,Active,0,
CD0001967,C001967,AC0001967,9,Debit,Mastercard,Gold,2024-08-13,2028-03-02,Active,0,
CD0001968,C001968,AC0001968,6,Credit,Mastercard,Business,2022-05-27,2026-07-16,Active,0,
CD0001969,C001969,AC0001969,8,Debit,Amex,Platinum,2020-04-05,2030-01-25,Active,0,
CD0001970,C001970,AC0001970,9,Credit,Visa,Standard,2021-03-24,2030-07-28,Active,0,
CD0001971,C001971,AC0001971,8,Debit,Mastercard,Standard,2025-03-23,2027-06-19,Active,0,
CD0001972,C001972,AC0001972,1,Credit,Visa,Gold,2025-10-11,2026-06-25,Active,0,
CD0001973,C001973,AC0001973,2,Credit,Visa,Standard,2021-11-19,2026-09-13,Active,0,
CD0001974,C001974,AC0001974,4,Credit,Visa,Gold,2020-12-08,2028-03-05,Active,0,
CD0001975,C001975,AC0001975,4,Debit,Mastercard,Standard,2024-08-11,2028-12-29,Active,0,
CD0001976,C001976,AC0001976,8,Debit,Visa,Standard,2021-07-25,2030-06-17,Active,0,
CD0001977,C001977,AC0001977,2,Debit,Mastercard,Gold,2020-09-11,2029-08-27,Blocked,1,Security Block
CD0001978,C001978,AC0001978,4,Debit,Mastercard,Business,2020-09-01,2026-01-12,Active,0,
CD0001979,C001979,AC0001979,3,Credit,Visa,Gold,2019-12-04,2026-01-01,Active,0,
CD0001980,C001980,AC0001980,2,Debit,Visa,Platinum,2023-02-08,2026-04-18,Active,0,
CD0001981,C001981,AC0001981,2,Credit,Amex,Standard,2023-04-20,2030-08-21,Active,0,
CD0001982,C001982,AC0001982,2,Debit,Mastercard,Gold,2018-10-25,2029-01-11,Active,0,
CD0001983,C001983,AC0001983,6,Debit,Mastercard,Platinum,2020-03-05,2028-10-24,Active,0,
CD0001984,C001984,AC0001984,5,Debit,Visa,Business,2024-01-01,2028-01-05,Active,0,
CD0001985,C001985,AC0001985,5,Debit,Mastercard,Standard,2022-06-21,2027-10-01,Active,0,
CD0001986,C001986,AC0001986,5,Debit,Mastercard,Standard,2023-11-06,2028-02-10,Active,0,
CD0001987,C001987,AC0001987,8,Credit,Visa,Gold,2024-08-03,2030-04-09,Blocked,1,Security Block
CD0001988,C001988,AC0001988,9,Debit,Mastercard,Gold,2019-08-09,2027-05-19,Active,0,
CD0001989,C001989,AC0001989,6,Credit,Visa,Standard,2020-04-19,2026-11-17,Active,0,
CD0001990,C001990,AC0001990,7,Debit,Mastercard,Business,2019-04-08,2030-05-15,Blocked,1,Fraud Suspected
CD0001991,C001991,AC0001991,8,Debit,Visa,Gold,2022-07-09,2030-08-24,Active,0,
CD0001992,C001992,AC0001992,7,Debit,Amex,Platinum,2021-07-08,2026-03-10,Active,0,
CD0001993,C001993,AC0001993,2,Credit,Visa,Gold,2021-04-04,2027-08-06,Blocked,1,Security Block
CD0001994,C001994,AC0001994,10,Debit,Visa,Gold,2023-06-22,2029-11-22,Active,0,
CD0001995,C001995,AC0001995,2,Credit,Mastercard,Standard,2023-11-08,2029-06-17,Blocked,1,Security Block
CD0001996,C001996,AC0001996,5,Credit,Visa,Standard,2021-01-06,2026-06-06,Active,0,
CD0001997,C001997,AC0001997,7,Credit,Mastercard,Business,2021-04-11,2026-01-24,Active,0,
CD0001998,C001998,AC0001998,5,Credit,Visa,Standard,2020-07-13,2030-04-12,Active,0,
CD0001999,C001999,AC0001999,3,Debit,Mastercard,Business,2022-02-04,2029-06-12,Active,0,
CD0002000,C002000,AC0002000,10,Debit,Mastercard,Standard,2025-04-05,2028-08-22,Active,0,
CD0002001,C002001,AC0002001,1,Debit,Mastercard,Platinum,2020-07-30,2030-10-14,Active,0,
CD0002002,C002002,AC0002002,3,Debit,Mastercard,Standard,2019-03-31,2027-12-28,Active,0,
CD0002003,C002003,AC0002003,10,Credit,Visa,Platinum,2019-08-05,2028-05-18,Blocked,1,Fraud Suspected
CD0002004,C002004,AC0002004,8,Debit,Mastercard,Platinum,2020-11-07,2029-09-24,Active,0,
CD0002005,C002005,AC0002005,1,Credit,Amex,Gold,2025-07-20,2029-03-12,Active,0,
CD0002006,C002006,AC0002006,8,Credit,Amex,Platinum,2024-11-29,2026-05-21,Active,0,
CD0002007,C002007,AC0002007,10,Credit,Amex,Business,2018-04-09,2029-07-09,Blocked,1,Security Block
CD0002008,C002008,AC0002008,1,Debit,Mastercard,Business,2020-01-16,2030-03-13,Expired,0,
CD0002009,C002009,AC0002009,5,Credit,Visa,Business,2018-04-09,2030-09-25,Active,0,
CD0002010,C002010,AC0002010,5,Debit,Mastercard,Standard,2022-03-04,2026-07-11,Active,0,
CD0002011,C002011,AC0002011,2,Credit,Mastercard,Business,2025-11-17,2030-10-19,Active,0,
CD0002012,C002012,AC0002012,3,Debit,Mastercard,Platinum,2019-05-28,2029-06-20,Active,0,
CD0002013,C002013,AC0002013,2,Debit,Visa,Standard,2018-09-02,2027-12-26,Active,0,
CD0002014,C002014,AC0002014,2,Credit,Mastercard,Gold,2023-11-07,2027-04-06,Active,0,
CD0002015,C002015,AC0002015,5,Debit,Mastercard,Gold,2023-08-01,2027-05-09,Active,0,
CD0002016,C002016,AC0002016,5,Debit,Visa,Business,2024-11-08,2029-05-09,Active,0,
CD0002017,C002017,AC0002017,3,Debit,Mastercard,Business,2018-12-10,2030-06-11,Active,0,
CD0002018,C002018,AC0002018,3,Credit,Mastercard,Business,2024-11-05,2029-12-08,Active,0,
CD0002019,C002019,AC0002019,2,Debit,Visa,Standard,2025-11-21,2029-01-26,Active,0,
CD0002020,C002020,AC0002020,8,Debit,Mastercard,Business,2023-07-01,2030-03-27,Active,0,
CD0002021,C002021,AC0002021,3,Debit,Mastercard,Gold,2022-02-02,2029-12-12,Active,0,
CD0002022,C002022,AC0002022,10,Credit,Visa,Business,2020-06-14,2028-06-15,Active,0,
CD0002023,C002023,AC0002023,6,Credit,Visa,Platinum,2024-06-02,2028-05-13,Active,0,
CD0002024,C002024,AC0002024,9,Debit,Visa,Platinum,2022-03-05,2030-06-29,Active,0,
CD0002025,C002025,AC0002025,7,Debit,Visa,Standard,2025-04-19,2030-04-12,Blocked,1,Excessive Attempts
CD0002026,C002026,AC0002026,3,Debit,Amex,Business,2020-10-27,2028-10-19,Blocked,1,Security Block
CD0002027,C002027,AC0002027,7,Debit,Mastercard,Platinum,2022-01-16,2029-11-14,Blocked,1,Lost/Stolen
CD0002028,C002028,AC0002028,3,Debit,Mastercard,Business,2018-02-08,2029-08-15,Active,0,
CD0002029,C002029,AC0002029,2,Debit,Mastercard,Gold,2020-10-15,2026-05-06,Active,0,
CD0002030,C002030,AC0002030,3,Debit,Visa,Standard,2019-09-27,2028-11-12,Active,0,
CD0002031,C002031,AC0002031,3,Debit,Mastercard,Standard,2021-02-20,2026-10-30,Active,0,
CD0002032,C002032,AC0002032,2,Debit,Visa,Gold,2021-09-06,2030-11-21,Active,0,
CD0002033,C002033,AC0002033,1,Credit,Visa,Gold,2020-06-15,2029-10-20,Active,0,
CD0002034,C002034,AC0002034,10,Debit,Mastercard,Gold,2023-11-19,2030-04-14,Active,0,
CD0002035,C002035,AC0002035,6,Credit,Visa,Standard,2019-09-01,2028-05-31,Active,0,
CD0002036,C002036,AC0002036,5,Credit,Mastercard,Platinum,2019-09-09,2027-08-07,Active,0,
CD0002037,C002037,AC0002037,10,Credit,Mastercard,Standard,2018-01-25,2029-02-14,Active,0,
CD0002038,C002038,AC0002038,3,Debit,Visa,Platinum,2024-12-12,2029-03-19,Blocked,1,Security Block
CD0002039,C002039,AC0002039,5,Debit,Visa,Business,2025-07-08,2028-06-14,Active,0,
CD0002040,C002040,AC0002040,9,Debit,Visa,Gold,2023-12-09,2027-06-03,Active,0,
CD0002041,C002041,AC0002041,7,Debit,Mastercard,Business,2023-10-24,2028-10-14,Active,0,
CD0002042,C002042,AC0002042,4,Credit,Mastercard,Gold,2021-06-17,2027-06-19,Active,0,
CD0002043,C002043,AC0002043,3,Credit,Visa,Business,2021-01-31,2029-02-15,Active,0,
CD0002044,C002044,AC0002044,1,Credit,Mastercard,Gold,2023-09-29,2026-05-13,Active,0,
CD0002045,C002045,AC0002045,1,Debit,Visa,Platinum,2023-04-21,2027-09-28,Active,0,
CD0002046,C002046,AC0002046,2,Debit,Visa,Standard,2025-11-22,2026-02-28,Active,0,
CD0002047,C002047,AC0002047,8,Debit,Mastercard,Gold,2025-06-10,2029-12-25,Active,0,
CD0002048,C002048,AC0002048,7,Debit,Mastercard,Gold,2023-09-29,2026-08-12,Active,0,
CD0002049,C002049,AC0002049,5,Credit,Mastercard,Platinum,2023-03-15,2028-11-06,Active,0,
CD0002050,C002050,AC0002050,8,Credit,Visa,Business,2021-03-10,2026-07-11,Active,0,
CD0002051,C002051,AC0002051,2,Debit,Visa,Business,2023-05-03,2029-03-03,Active,0,
CD0002052,C002052,AC0002052,3,Credit,Visa,Gold,2018-06-29,2026-04-03,Active,0,
CD0002053,C002053,AC0002053,4,Credit,Visa,Gold,2018-12-05,2026-03-10,Active,0,
CD0002054,C002054,AC0002054,10,Debit,Visa,Business,2023-09-30,2026-06-27,Active,0,
CD0002055,C002055,AC0002055,7,Debit,Amex,Gold,2019-02-05,2029-03-31,Active,0,
CD0002056,C002056,AC0002056,9,Debit,Visa,Business,2021-12-30,2028-01-10,Active,0,
CD0002057,C002057,AC0002057,3,Debit,Mastercard,Gold,2024-09-10,2030-09-04,Blocked,1,Security Block
CD0002058,C002058,AC0002058,9,Debit,Amex,Platinum,2019-09-06,2030-04-03,Active,0,
CD0002059,C002059,AC0002059,1,Debit,Visa,Platinum,2020-11-17,2026-11-14,Blocked,1,Fraud Suspected
CD0002060,C002060,AC0002060,3,Debit,Mastercard,Standard,2024-03-18,2030-04-11,Active,0,
CD0002061,C002061,AC0002061,6,Debit,Visa,Business,2024-06-27,2028-05-28,Expired,0,
CD0002062,C002062,AC0002062,1,Debit,Mastercard,Platinum,2019-06-12,2029-05-04,Active,0,
CD0002063,C002063,AC0002063,9,Debit,Mastercard,Business,2018-03-01,2026-08-20,Active,0,
CD0002064,C002064,AC0002064,9,Credit,Mastercard,Standard,2025-03-25,2026-11-13,Active,0,
CD0002065,C002065,AC0002065,6,Credit,Visa,Standard,2021-11-11,2030-01-08,Blocked,1,Security Block
CD0002066,C002066,AC0002066,4,Debit,Mastercard,Platinum,2024-09-16,2029-11-24,Blocked,1,Lost/Stolen
CD0002067,C002067,AC0002067,1,Credit,Visa,Gold,2021-03-30,2026-08-02,Active,0,
CD0002068,C002068,AC0002068,7,Debit,Visa,Platinum,2025-12-19,2027-12-02,Blocked,1,Excessive Attempts
CD0002069,C002069,AC0002069,6,Debit,Visa,Gold,2019-01-25,2026-03-07,Active,0,
CD0002070,C002070,AC0002070,8,Debit,Visa,Business,2023-09-24,2028-10-16,Active,0,
CD0002071,C002071,AC0002071,7,Credit,Visa,Gold,2023-08-17,2026-08-03,Active,0,
CD0002072,C002072,AC0002072,2,Debit,Visa,Business,2022-06-19,2030-03-26,Expired,0,
CD0002073,C002073,AC0002073,2,Debit,Mastercard,Platinum,2019-10-20,2027-04-12,Active,0,
CD0002074,C002074,AC0002074,8,Debit,Mastercard,Business,2023-11-03,2028-05-08,Active,0,
CD0002075,C002075,AC0002075,2,Debit,Mastercard,Platinum,2024-03-15,2027-09-06,Expired,0,
CD0002076,C002076,AC0002076,10,Debit,Visa,Platinum,2024-06-02,2028-05-16,Active,0,
CD0002077,C002077,AC0002077,2,Credit,Mastercard,Gold,2021-06-08,2029-08-04,Active,0,
CD0002078,C002078,AC0002078,8,Debit,Mastercard,Business,2025-04-19,2029-03-13,Active,0,
CD0002079,C002079,AC0002079,10,Debit,Visa,Standard,2024-07-05,2027-07-02,Active,0,
CD0002080,C002080,AC0002080,5,Debit,Visa,Standard,2022-01-03,2026-08-25,Active,0,
CD0002081,C002081,AC0002081,1,Credit,Mastercard,Standard,2022-10-28,2027-01-13,Blocked,1,Security Block
CD0002082,C002082,AC0002082,9,Debit,Visa,Platinum,2021-05-27,2028-09-07,Blocked,1,Security Block
CD0002083,C002083,AC0002083,2,Debit,Mastercard,Business,2021-08-19,2029-05-20,Active,0,
CD0002084,C002084,AC0002084,6,Debit,Mastercard,Standard,2020-07-27,2028-07-20,Active,0,
CD0002085,C002085,AC0002085,10,Debit,Visa,Standard,2025-07-05,2027-02-12,Blocked,1,Security Block
CD0002086,C002086,AC0002086,8,Credit,Mastercard,Platinum,2019-06-29,2030-02-22,Blocked,1,Security Block
CD0002087,C002087,AC0002087,1,Debit,Mastercard,Business,2018-04-05,2026-02-11,Active,0,
CD0002088,C002088,AC0002088,9,Credit,Amex,Standard,2023-11-10,2030-06-13,Active,0,
CD0002089,C002089,AC0002089,2,Debit,Mastercard,Business,2024-06-16,2029-11-10,Active,0,
CD0002090,C002090,AC0002090,8,Debit,Visa,Gold,2023-06-20,2026-02-16,Active,0,
CD0002091,C002091,AC0002091,7,Credit,Mastercard,Business,2025-11-15,2028-06-21,Active,0,
CD0002092,C002092,AC0002092,3,Credit,Visa,Standard,2022-05-31,2027-10-31,Active,0,
CD0002093,C002093,AC0002093,5,Credit,Visa,Gold,2025-04-30,2028-08-11,Active,0,
CD0002094,C002094,AC0002094,2,Debit,Mastercard,Standard,2023-01-09,2029-03-29,Active,0,
CD0002095,C002095,AC0002095,10,Credit,Mastercard,Business,2024-09-07,2027-12-28,Active,0,
CD0002096,C002096,AC0002096,3,Debit,Visa,Platinum,2021-04-10,2030-05-09,Active,0,
CD0002097,C002097,AC0002097,4,Debit,Amex,Gold,2018-06-06,2026-12-06,Active,0,
CD0002098,C002098,AC0002098,6,Debit,Mastercard,Standard,2018-11-12,2026-09-18,Active,0,
CD0002099,C002099,AC0002099,7,Debit,Mastercard,Platinum,2020-05-10,2028-12-06,Active,0,
CD0002100,C002100,AC0002100,6,Credit,Visa,Business,2025-11-03,2029-05-05,Active,0,
CD0002101,C002101,AC0002101,6,Credit,Amex,Gold,2021-12-18,2030-10-08,Active,0,
CD0002102,C002102,AC0002102,6,Debit,Visa,Platinum,2021-01-26,2027-06-28,Blocked,1,Security Block
CD0002103,C002103,AC0002103,9,Debit,Visa,Platinum,2020-05-14,2028-05-25,Active,0,
CD0002104,C002104,AC0002104,4,Debit,Mastercard,Standard,2021-05-10,2028-01-28,Active,0,
CD0002105,C002105,AC0002105,9,Debit,Mastercard,Gold,2020-05-10,2026-11-30,Active,0,
CD0002106,C002106,AC0002106,8,Debit,Mastercard,Business,2023-05-27,2029-01-29,Active,0,
CD0002107,C002107,AC0002107,10,Credit,Visa,Standard,2020-03-01,2029-02-17,Active,0,
CD0002108,C002108,AC0002108,10,Debit,Visa,Platinum,2022-12-10,2028-01-01,Active,0,
CD0002109,C002109,AC0002109,8,Credit,Visa,Standard,2021-11-26,2027-03-07,Active,0,
CD0002110,C002110,AC0002110,3,Debit,Visa,Gold,2022-01-11,2027-07-25,Active,0,
CD0002111,C002111,AC0002111,8,Debit,Mastercard,Platinum,2022-06-11,2029-10-15,Expired,0,
CD0002112,C002112,AC0002112,8,Debit,Visa,Platinum,2025-09-12,2028-12-19,Blocked,1,Excessive Attempts
CD0002113,C002113,AC0002113,3,Debit,Visa,Standard,2018-09-14,2026-07-25,Blocked,1,Fraud Suspected
CD0002114,C002114,AC0002114,7,Credit,Visa,Gold,2024-01-06,2028-09-24,Expired,0,
CD0002115,C002115,AC0002115,3,Debit,Mastercard,Standard,2025-04-01,2029-05-29,Active,0,
CD0002116,C002116,AC0002116,6,Debit,Visa,Business,2024-08-20,2026-04-15,Active,0,
CD0002117,C002117,AC0002117,8,Debit,Amex,Platinum,2024-11-16,2027-03-06,Active,0,
CD0002118,C002118,AC0002118,2,Credit,Mastercard,Platinum,2018-05-23,2030-02-03,Active,0,
CD0002119,C002119,AC0002119,4,Credit,Amex,Standard,2019-06-28,2030-09-06,Active,0,
CD0002120,C002120,AC0002120,8,Credit,Amex,Business,2022-06-30,2027-10-11,Active,0,
CD0002121,C002121,AC0002121,5,Credit,Visa,Business,2024-07-20,2027-04-01,Active,0,
CD0002122,C002122,AC0002122,10,Debit,Visa,Gold,2020-08-29,2028-05-27,Expired,0,
CD0002123,C002123,AC0002123,1,Debit,Amex,Business,2025-05-12,2028-02-13,Active,0,
CD0002124,C002124,AC0002124,8,Debit,Visa,Gold,2018-12-27,2027-08-05,Active,0,
CD0002125,C002125,AC0002125,9,Credit,Mastercard,Gold,2018-11-06,2027-01-20,Active,0,
CD0002126,C002126,AC0002126,10,Debit,Visa,Gold,2023-07-18,2030-07-02,Active,0,
CD0002127,C002127,AC0002127,2,Credit,Mastercard,Gold,2021-09-02,2026-08-19,Blocked,1,Security Block
CD0002128,C002128,AC0002128,10,Credit,Visa,Platinum,2025-11-03,2027-08-18,Active,0,
CD0002129,C002129,AC0002129,4,Credit,Visa,Gold,2021-01-26,2028-11-15,Blocked,1,Security Block
CD0002130,C002130,AC0002130,4,Debit,Mastercard,Platinum,2019-03-21,2028-06-06,Active,0,
CD0002131,C002131,AC0002131,4,Credit,Mastercard,Platinum,2018-10-21,2026-04-10,Active,0,
CD0002132,C002132,AC0002132,7,Debit,Visa,Gold,2020-07-14,2027-12-10,Active,0,
CD0002133,C002133,AC0002133,7,Credit,Mastercard,Standard,2023-02-01,2026-03-21,Active,0,
CD0002134,C002134,AC0002134,5,Credit,Visa,Gold,2019-12-29,2026-12-17,Active,0,
CD0002135,C002135,AC0002135,1,Credit,Mastercard,Gold,2023-12-20,2028-06-07,Active,0,
CD0002136,C002136,AC0002136,10,Credit,Visa,Business,2024-07-13,2029-11-16,Blocked,1,Fraud Suspected
CD0002137,C002137,AC0002137,3,Debit,Mastercard,Gold,2024-11-12,2029-10-30,Active,0,
CD0002138,C002138,AC0002138,1,Debit,Amex,Standard,2019-02-06,2030-08-20,Active,0,
CD0002139,C002139,AC0002139,6,Credit,Visa,Business,2019-09-26,2030-07-03,Active,0,
CD0002140,C002140,AC0002140,5,Credit,Mastercard,Business,2023-05-07,2030-05-08,Active,0,
CD0002141,C002141,AC0002141,7,Debit,Visa,Standard,2021-04-12,2029-07-25,Active,0,
CD0002142,C002142,AC0002142,9,Debit,Mastercard,Platinum,2020-10-22,2029-06-12,Active,0,
CD0002143,C002143,AC0002143,1,Debit,Amex,Platinum,2019-01-29,2027-11-21,Active,0,
CD0002144,C002144,AC0002144,3,Credit,Mastercard,Business,2020-12-31,2028-09-25,Active,0,
CD0002145,C002145,AC0002145,6,Debit,Mastercard,Business,2021-03-06,2030-07-15,Active,0,
CD0002146,C002146,AC0002146,8,Debit,Visa,Gold,2019-07-10,2026-06-15,Expired,0,
CD0002147,C002147,AC0002147,7,Debit,Mastercard,Gold,2021-09-22,2030-01-18,Active,0,
CD0002148,C002148,AC0002148,4,Credit,Mastercard,Platinum,2023-09-24,2030-12-09,Active,0,
CD0002149,C002149,AC0002149,7,Debit,Visa,Business,2024-01-27,2028-03-24,Blocked,1,Security Block
CD0002150,C002150,AC0002150,10,Credit,Visa,Gold,2024-11-25,2029-11-11,Blocked,1,Security Block
CD0002151,C002151,AC0002151,5,Debit,Visa,Gold,2018-05-09,2027-02-26,Active,0,
CD0002152,C002152,AC0002152,9,Credit,Mastercard,Platinum,2018-04-10,2026-12-18,Active,0,
CD0002153,C002153,AC0002153,8,Debit,Mastercard,Platinum,2021-12-05,2029-12-01,Active,0,
CD0002154,C002154,AC0002154,4,Credit,Visa,Standard,2021-02-24,2028-12-18,Active,0,
CD0002155,C002155,AC0002155,3,Debit,Mastercard,Platinum,2022-08-24,2030-10-10,Active,0,
CD0002156,C002156,AC0002156,8,Debit,Mastercard,Business,2025-09-19,2028-10-10,Active,0,
CD0002157,C002157,AC0002157,3,Debit,Mastercard,Business,2018-10-31,2028-03-15,Active,0,
CD0002158,C002158,AC0002158,4,Debit,Visa,Platinum,2018-02-05,2026-04-18,Active,0,
CD0002159,C002159,AC0002159,3,Debit,Mastercard,Standard,2018-06-04,2029-11-01,Active,0,
CD0002160,C002160,AC0002160,7,Debit,Visa,Standard,2025-03-09,2028-06-06,Blocked,1,Lost/Stolen
CD0002161,C002161,AC0002161,3,Debit,Mastercard,Standard,2019-08-07,2029-03-31,Active,0,
